Location,Updated,WaitTimeInSeconds
AF3,2023-07-12T09:30:00,541
EF-T,2023-07-12T09:30:00,191
GH-T,2023-07-12T09:25:00,225
NS-S,2023-07-12T09:30:00,808
S-NS,2023-07-12T09:30:00,9251
VF0,2023-07-12T09:30:00,166
VF1,2023-07-12T09:30:00,169
VF2,2023-07-12T09:30:00,11205
VF3,2023-07-12T09:30:00,847
VF4,2023-07-12T09:30:00,500
VH3,2023-07-12T09:30:00,60
AF2,2023-07-12T09:45:00,60
AF3,2023-07-12T09:45:00,454
EF-T,2023-07-12T09:45:00,60
GH-T,2023-07-12T09:25:00,225
NS-S,2023-07-12T09:45:00,3116
S-NS,2023-07-12T09:45:00,10897
VF0,2023-07-12T09:45:00,160
VF1,2023-07-12T09:45:00,60
VF2,2023-07-12T09:45:00,11338
VF3,2023-07-12T09:45:00,458
VF4,2023-07-12T09:45:00,879
VH3,2023-07-12T09:45:00,60
AF2,2023-07-12T10:08:00,60
AF3,2023-07-12T10:08:00,660
EF-T,2023-07-12T10:08:00,60
GH-T,2023-07-12T09:25:00,225
NS-S,2023-07-12T10:08:00,1190
S-NS,2023-07-12T10:08:00,8914
VF0,2023-07-12T10:07:00,108
VF1,2023-07-12T10:07:00,135
VF2,2023-07-12T10:08:00,7014
VF3,2023-07-12T10:07:00,533
VF4,2023-07-12T10:08:00,1094
VH3,2023-07-12T10:08:00,91
AF2,2023-07-12T10:28:00,60
AF3,2023-07-12T10:28:00,664
EF-T,2023-07-12T10:28:00,60
GH-T,2023-07-12T10:27:00,75
NS-S,2023-07-12T10:28:00,867
S-NS,2023-07-12T10:28:00,7280
VF0,2023-07-12T10:28:00,172
VF1,2023-07-12T10:28:00,209
VF2,2023-07-12T10:28:00,3729
VF3,2023-07-12T10:28:00,354
VF4,2023-07-12T10:28:00,714
VH3,2023-07-12T10:28:00,60
AF2,2023-07-12T10:37:00,1048
AF3,2023-07-12T10:37:00,60
EF-T,2023-07-12T10:37:00,60
GH-T,2023-07-12T10:37:00,60
NS-S,2023-07-12T10:37:00,453
S-NS,2023-07-12T10:37:00,2097
VF0,2023-07-12T10:37:00,60
VF1,2023-07-12T10:37:00,297
VF2,2023-07-12T10:37:00,2653
VF3,2023-07-12T10:37:00,468
VF4,2023-07-12T10:37:00,767
VH3,2023-07-12T10:37:00,60
AF2,2023-07-12T10:37:00,1048
AF3,2023-07-12T10:37:00,60
EF-T,2023-07-12T10:37:00,60
GH-T,2023-07-12T10:37:00,60
NS-S,2023-07-12T10:37:00,453
S-NS,2023-07-12T10:37:00,2097
VF0,2023-07-12T10:37:00,60
VF1,2023-07-12T10:37:00,297
VF2,2023-07-12T10:37:00,2653
VF3,2023-07-12T10:37:00,468
VF4,2023-07-12T10:37:00,767
VH3,2023-07-12T10:37:00,60
AF2,2023-07-12T11:03:00,60
AF3,2023-07-12T11:03:00,431
EF-T,2023-07-12T11:03:00,545
GH-T,2023-07-12T11:03:00,99
NS-S,2023-07-12T11:03:00,179
S-NS,2023-07-12T11:03:00,1095
VF0,2023-07-12T11:03:00,78
VF1,2023-07-12T11:03:00,752
VF2,2023-07-12T11:03:00,1825
VF3,2023-07-12T11:03:00,674
VF4,2023-07-12T11:03:00,396
VH3,2023-07-12T11:03:00,60
AF2,2023-07-12T11:23:00,328
AF3,2023-07-12T11:23:00,654
EF-T,2023-07-12T11:23:00,281
GH-T,2023-07-12T11:23:00,60
NS-S,2023-07-12T11:23:00,600
S-NS,2023-07-12T11:23:00,498
VF0,2023-07-12T11:23:00,60
VF1,2023-07-12T11:23:00,943
VF2,2023-07-12T11:23:00,1387
VF3,2023-07-12T11:23:00,525
VF4,2023-07-12T11:23:00,220
VH3,2023-07-12T11:23:00,60
AF2,2023-07-12T11:30:00,706
AF3,2023-07-12T11:30:00,541
EF-T,2023-07-12T11:30:00,405
GH-T,2023-07-12T11:30:00,60
NS-S,2023-07-12T11:30:00,734
S-NS,2023-07-12T11:30:00,929
VF0,2023-07-12T11:30:00,64
VF1,2023-07-12T11:30:00,793
VF2,2023-07-12T11:30:00,1475
VF3,2023-07-12T11:30:00,448
VF4,2023-07-12T11:30:00,247
